#機關:中華電信 彰化營運處,年度:115,月份:4,來源:TAIS_budget_115_20260429_0901.csv
明細帳,會計項目,本月動支數,本月餘額,本月預算數,至本月預算數累計,累計動支率,本年度預算,年度動支率,剩餘可動支數,預算主管單位,費用分類,分類代碼
929JC,其他費用－AI業務-AI開發分析平台專案建置成本,0,0,67000,298000,0,1281000,0,1281000,,專案建置成本,D.1
929JD,其他費用－AI業務-其他專案建置成本,0,0,48000,214000,0,927000,0,927000,,專案建置成本,D.1
9291,其他費用－客戶專案建置成本,0,7323,,,,,,,企業客戶科,專案建置成本,D.1
9292H,政府業務產品成本－公路監理專案及加值服務專案建置,0,0,29000,128000,0,555000,0,555000,企業客戶科,專案建置成本,D.1
9292K,政府業務產品成本－政府電子採購服務專案建置,0,0,,,,,,,企業客戶科,專案建置成本,D.1
9294A,資訊與通信產品業務成本－智慧建築（IGB ) 產品成本－綜合佈線工程專案建置成本,6293,6293,53000,235000,2.68,1012000,0.62,1005707,企業客戶科,專案建置成本,D.1
9294D,資訊與通信產品業務成本－企業健康雲系統(HCS)－遠距醫療平台專案建置,1191,2215,89000,396000,0.56,1707000,0.13,1704785,企業客戶科,專案建置成本,D.1
9294F,資訊與通信產品業務成本－能源管理／專業服務之專案建置,0,0,662000,2945000,0,12698000,0,12698000,企業客戶科,專案建置成本,D.1
9294G,資訊與通信產品業務成本－水資源專案建置,0,0,76000,339000,0,1464000,0,1464000,企業客戶科,專案建置成本,D.1
9294I,資訊與通信產品業務成本－充電樁專案建置成本,0,0,47000,207000,0,892000,0,892000,,專案建置成本,D.1
9294K,智慧型運輸系統（ＩＴＳ）－智慧交控專案建置成本,0,0,396000,1760000,0,7590000,0,7590000,,專案建置成本,D.1
9294L,資訊與通信產品業務成本-智慧安防(IVS)產品線-科技執法專案建置成本,0,20146,124000,551000,3.66,2373000,0.85,2352854,企業客戶科,專案建置成本,D.1
9294M,資訊與通信產品業務成本－太陽能光電維運,0,0,123000,547000,0,2356000,0,2356000,企業客戶科,專案建置成本,D.1
9294N,資訊與通信產品業務成本-智慧安防(IVS)產品線-AI科技執法專案建置成本,0,0,103000,457000,0,1972000,0,1972000,,專案建置成本,D.1
9294R,資訊與通信產品業務成本－資安產品－資安專業服務專安建置成本,0,0,493000,2191000,0,9448000,0,9448000,企業客戶科,專案建置成本,D.1
9294S,資訊與通信產品業務成本－太陽能光電專案建置,0,2235610,1723000,7661000,29.18,33030000,6.77,30794390,企業客戶科,專案建置成本,D.1
9294U,資訊與通信產品業務成本－企業健康雲系統(HCS)專案建置,0,0,,,,,,,企業客戶科,專案建置成本,D.1
9294W,資訊與通信產品業務成本－智慧建築（IGB ) 產品成本－弱電工程專案建置成本,0,0,1045000,4646000,0,20033000,0,20033000,企業客戶科,專案建置成本,D.1
9294X,資訊與通信產品業務成本－智慧建築（IGB ) 產品成本－機電工程專案建置成本,14398,14398,,,,,,,企業客戶科,專案建置成本,D.1
9294Y,資訊與通信產品業務成本－資安產品線業務專案建置成本－在地化資安專案建置成本,51593,451152,1570000,6980000,6.46,30095000,1.5,29643848,企業客戶科,專案建置成本,D.1
92941,資訊與通信產品業務成本－智慧型運輸系統(ITS)－政府交通專案建置,0,0,,,,,,,企業客戶科,專案建置成本,D.1
92942,資訊與通信產品業務成本－智慧節能服務（iEN）,160317,712912,170000,754000,94.55,3251000,21.93,2538088,企業客戶科,專案建置成本,D.1
92944,資訊與通信產品業務成本－智慧型運輸系統(ITS)－其他專案建置,0,45896,543000,2416000,1.9,10418000,0.44,10372104,企業客戶科,專案建置成本,D.1
92946,資訊與通信產品業務成本－交換機（ＰＢＸ）,24624,300273,47000,210000,142.99,908000,33.07,607727,企業客戶科,專案建置成本,D.1
92947,資訊與通信產品業務成本－智慧建築（IGB ) 產品成本－其他專案建置成本,37947,737489,655000,2914000,25.31,12563000,5.87,11825511,企業客戶科,專案建置成本,D.1
92948,資訊與通信產品業務成本－智慧安防,-171467,3137052,1702000,7568000,41.45,32629000,9.61,29491948,企業客戶科,專案建置成本,D.1
92949,資訊與通信產品業務成本-資安產品-身分識別專案建置,0,0,454000,2019000,0,8705000,0,8705000,企業客戶科,專案建置成本,D.1
9295B,SaaS產品業務專案建置成本-企業資源整合(ERP)服務專案建置成本,0,0,,,,,,,企業客戶科,專案建置成本,D.1
9295D,SaaS產品業務專案建置成本-其他整合包裝及服務專案建置成本,0,0,252000,1120000,0,4828000,0,4828000,企業客戶科,專案建置成本,D.1
92951,IaaS類業務-GSN客戶IaaS類業務產品成本-政府雲端專案建置成本,0,0,44000,195000,0,839000,0,839000,企業客戶科,專案建置成本,D.1
92953,AWS公有雲業務專案建置成本,0,0,107000,474000,0,2043000,0,2043000,企業客戶科,專案建置成本,D.1
92958,IaaS類業務-專案建置成本,0,1,340000,1513000,0,6526000,0,6525999,企業客戶科,專案建置成本,D.1
9297L,行動ICT M化業務成本－行動訊號涵蓋工程專案建置成本,51146,60218,55000,243000,24.78,1048000,5.75,987782,企業客戶科,專案建置成本,D.1
9297M,行動ICT M化業務成本－行動裝置管理專案建置成本,0,0,212000,940000,0,4055000,0,4055000,企業客戶科,專案建置成本,D.1
9297V,行動ICT M化業務成本－行動即時影像專案建置成本,0,0,,,,,,,企業客戶科,專案建置成本,D.1
9297Y,行動ICT M化業務成本－其他專案建置成本,268334,296846,324000,1441000,20.6,6212000,4.78,5915154,企業客戶科,專案建置成本,D.1
92972,行動物聯網業務專案建置成本,0,16402,,,,,,,企業客戶科,專案建置成本,D.1
92973,行動物聯網業務－智慧停車專案建置成本,0,0,100000,444000,0,1909000,0,1909000,,專案建置成本,D.1
92974,行動ICT M化業務－企業專網專案建置成本,0,247299,194000,864000,28.62,3725000,6.64,3477701,企業客戶科,專案建置成本,D.1
9298A,其他企業客戶專案成本－郵費,0,0,28000,127000,0,544000,0,544000,企業客戶科,專案建置成本,D.2
92981,其他企業客戶專案成本－企業客戶端設備攤銷費,33333,1737337.23,24000,107000,1623.68,459000,378.5,-1278337.23,企業客戶科,專案建置成本,D.2
92982,其他企業客戶專案成本－維運備品費,3428,11704,,,,,,,企業客戶科,專案建置成本,D.2
92984,其他企業客戶專案成本－人力費用－薪資及加班費,0,50772,,,,,,,企業客戶科,專案建置成本,D.2
92985,其他企業客戶專案成本－人力費用－其他用人費用,0,0,,,,,,,企業客戶科,專案建置成本,D.2
92986,其他企業客戶專案成本－廠商成本,70380,1467223,1441000,6442000,22.78,28196000,5.2,26728777,企業客戶科,專案建置成本,D.2
92987,其他企業客戶專案成本－保固及售後服務費,0,0,17000,77000,0,330000,0,330000,企業客戶科,專案建置成本,D.2
92989,其他企業客戶專案成本－其他,1158689,4660436,548000,2437000,191.24,10514000,44.33,5853564,企業客戶科,專案建置成本,D.2
9299A,其他費用－Apple軟體商店,-69282,308044,209000,419000,73.52,2313000,13.32,2004956,服務中心,管銷費用,F.3.3
9299B,其他費用－Google Play,-64454,467079,158000,457000,102.21,1330000,35.12,862921,服務中心,管銷費用,F.3.3
9299C,其他費用－行動電信帳單代收Netflix款項,0,61692,15000,54000,114.24,201000,30.69,139308,服務中心,管銷費用,F.3.3
9299D,其他費用－手機代收停車費,0,50,0,0,,0,,-50,企業客戶科,管銷費用,F.3.3
9299F,其他費用－數據業務代收Netflix款項,0,-513,,,,,,,服務中心,管銷費用,F.3.3
9299G,其他費用－固網業務代收Netflix款項,0,114084,4000,16000,713.03,52000,219.39,-62084,服務中心,管銷費用,F.3.3
9299K,其他費用－MOD,0,-31,0,0,,0,,31,服務中心,管銷費用,F.3.3
9299L,其他費用－OTT影視業務,42,133,0,0,,0,,-133,服務中心,管銷費用,F.3.3
9299M,其他費用－行動促案代收Netflix款項,0,25832,,,,,,,服務中心,管銷費用,F.3.3
9299O,其他費用－Sony Play Station,0,0,0,0,,2000,0,2000,,管銷費用,F.3.3
9299Z,其他費用－其他,0,0.46,,,,,,,行政管理科,管銷費用,F.3.3
