#機關:中華電信 彰化營運處,年度:115,月份:4,來源:TAIS_budget_115_20260429_0901.csv
明細帳,會計項目,本月動支數,本月餘額,本月預算數,至本月預算數累計,累計動支率,本年度預算,年度動支率,剩餘可動支數,預算主管單位,費用分類,分類代碼
542,電信機械設備折舊,0,33067040,11340000,46064000,71.78,136558000,24.21,103490960,會計駐點,設備及折舊,E.1
551,運輸設備折舊,0,1866624,643000,2485000,75.12,8428000,22.15,6561376,會計駐點,設備及折舊,E.1
561,其他設備折舊,0,1775614,585000,2341000,75.85,12048000,14.74,10272386,會計駐點,設備及折舊,E.1
5611,太陽光電系統設備折舊,0,538266,187000,748000,71.96,2249000,23.93,1710734,會計駐點,設備及折舊,E.1
592,攤銷電腦軟體,0,2160,0,0,,9000,24,6840,資通科,設備及折舊,E.2
612,一般土地地價稅,1337599,5352045,1338000,5352000,100,16452000,32.53,11099955,行政管理科,管銷費用,F.2
631,一般房屋稅,533639,2135552,508000,2030000,105.2,6250000,34.17,4114448,行政管理科,管銷費用,F.2
6421,印花稅－營收現金貼用,0,290777,150000,580000,50.13,1800000,16.15,1509223,服務中心,管銷費用,F.2
6422,印花稅－合約貼用,0,101038,19000,62000,162.96,218000,46.35,116962,供應科,管銷費用,F.2
6429,印花稅－其他,0,15614,6000,24000,65.06,75000,20.82,59386,供應科,管銷費用,F.2
643,使用牌照稅,0,187997,103000,263000,71.48,754000,24.93,566003,供應科,管銷費用,F.2
657,頻率使用費－衛星通信,0,0,4000,16000,0,48000,0,48000,企業客戶科,管銷費用,F.2
6712,電信行政規費－電信監理規費,,,0,0,,0,,,行政管理科,管銷費用,F.2
6713,電信行政規費－道路使用費,760000,3064531,752000,3008000,101.88,9024000,33.96,5959469,第二客戶網路中心,管銷費用,F.2
67151,電信號碼使用費－市內網路,0,28744,14000,48000,59.88,129000,22.28,100256,行銷科,管銷費用,F.2
67152,電信號碼使用費－長途網路,0,0,0,1000,0,1000,0,1000,行銷科,管銷費用,F.2
67155,電信號碼使用費－行動寬頻,0,5293,20000,108000,4.9,263000,2.01,257707,行銷科,管銷費用,F.2
672,汽車燃料使用費,94167,376668,88000,352000,107.01,1178000,31.98,801332,供應科,管銷費用,F.2
679,其他行政規費,8340,61415,26000,104000,59.05,307000,20,245585,供應科,管銷費用,F.2
713,職業團體會費,0,35000,5000,64000,54.69,83000,42.17,48000,行政管理科,管銷費用,F.3.3
721,捐助個人,0,3200,1000,3000,106.67,6000,53.33,2800,服務中心,管銷費用,F.3.3
722,捐助社團,0,0,0,0,,6000,0,6000,行政管理科,管銷費用,F.3.3
7252,公益支出－公益支出,0,0,0,40000,0,165000,0,165000,規劃設計科,管銷費用,F.3.3
8121U,預期信用減損損失－應收帳款及催收款項－專標案－未達營收認列時點,,,0,0,,0,,,企業客戶科,業務成本,C.10.1
8121Z,預期信用減損損失－應收帳款及催收款項－專標案,0,-67383,0,0,,0,,67383,企業客戶科,業務成本,C.10.1
81747,災害損失－搶修設備－纜線,0,566142.89,,,,,,,第一客戶網路中心,管銷費用,F.3.3
81749,災害損失－搶修設備－其他,0,18124,0,0,,0,,-18124,行政管理科,管銷費用,F.3.3
926,其他費用-太陽能光電躉售電費業務成本,0,66104,0,7000,944.34,34000,194.42,-32104,企業客戶科,設備及折舊,E.3.3
92853,資訊與通信產品業務成本－AWS公有雲業務－非專標案,0,0,1606000,7141000,0,30790000,0,30790000,企業客戶科,專案建置成本,D.2
92854,資訊與通信產品業務成本－Azure公有雲業務－非專標案,0,0,116000,516000,0,2221000,0,2221000,企業客戶科,專案建置成本,D.2
92855,資訊與通信產品業務成本－GCP公有雲業務－非專標案,0,0,323000,1435000,0,6187000,0,6187000,企業客戶科,專案建置成本,D.2
92856,資訊與通信產品業務成本－M365公有雲業務－非專標案,0,0,337000,1498000,0,6459000,0,6459000,企業客戶科,專案建置成本,D.2
92882,其他企業客戶專案成本－維護企業客戶設備費－非專標案,0,0,44000,194000,0,834000,0,834000,企業客戶科,專案建置成本,D.2
92889,其他企業客戶專案成本－其他－非專標案,0,0,174000,740000,0,2788000,0,2788000,企業客戶科,專案建置成本,D.2
929A,其他費用－IDC專案建置成本,0,0,2276000,10119000,0,43632000,0,43632000,企業客戶科,專案建置成本,D.1
929AB,其他費用－AI機房專案建置成本,0,0,230000,1024000,0,4415000,0,4415000,,專案建置成本,D.1
929BE,其他費用－企業通訊及內容整合專案建置成本－商務應用整合專案建置成本,0,0,11000,48000,0,208000,0,208000,企業客戶科,專案建置成本,D.1
929BG,其他費用－企業通訊及內容整合專案建置成本－視訊會議專案建置成本,0,0,,,,,,,企業客戶科,專案建置成本,D.1
929BH,其他費用－企業通訊及內容整合專案建置成本－數位經濟多元支付專案建置成本,0,0,12000,54000,0,233000,0,233000,企業客戶科,專案建置成本,D.1
929E6,其他費用－大數據業務－大數據平台專案建置成本,0,450448,1074000,4774000,9.44,20583000,2.19,20132552,企業客戶科,專案建置成本,D.1
929E7,其他費用－大數據業務－智慧網管(EyeSee)專案建置成本,0,4066690,138000,614000,662.33,2650000,153.46,-1416690,企業客戶科,專案建置成本,D.1
929F,其他營業成本－海外ICT整合服務專案建置成本,0,0,146000,648000,0,2797000,0,2797000,企業客戶科,專案建置成本,D.1
929H,其他費用－市內/數據/國際IDC機房客戶設備代管專案建置成本,0,0,,,,,,,企業客戶科,專案建置成本,D.1
929IC,其他費用－衛星ICT整合服務專案建置成本－低軌相關,0,0,127000,565000,0,2437000,0,2437000,企業客戶科,專案建置成本,D.1
929JB,其他費用－AI業務-雲端AIGC應用專案建置成本,0,0,92000,409000,0,1765000,0,1765000,,專案建置成本,D.1
